Attempt ID,Started,Ended,Time
154,21 May 20 18:39:19,21 May 20 18:40:31,
155,21 May 20 18:41:50,21 May 20 18:42:57,
156,21 May 20 18:44:10,21 May 20 19:04:41,
157,21 May 20 19:06:24,21 May 20 19:07:26,
158,21 May 20 19:08:41,21 May 20 19:09:45,
159,21 May 20 19:10:57,21 May 20 19:11:56,
160,21 May 20 19:13:14,21 May 20 19:26:05,
161,21 May 20 19:27:59,21 May 20 19:31:04,
162,21 May 20 19:32:49,21 May 20 19:33:50,
163,21 May 20 19:35:03,21 May 20 19:38:11,
164,21 May 20 19:40:10,21 May 20 19:49:30,
165,21 May 20 19:51:51,21 May 20 19:54:21,
166,21 May 20 19:55:45,21 May 20 20:08:35,
167,21 May 20 20:12:09,21 May 20 20:19:49,
168,21 May 20 20:21:02,21 May 20 20:36:12,
169,21 May 20 20:41:02,21 May 20 20:41:05,
170,21 May 20 20:42:00,21 May 20 20:48:04,
171,21 May 20 20:49:20,21 May 20 20:50:19,
172,21 May 20 20:51:33,21 May 20 20:55:12,
173,21 May 20 20:57:52,21 May 20 20:58:49,
174,21 May 20 21:00:01,21 May 20 21:01:01,
175,21 May 20 21:02:14,21 May 20 21:03:12,
176,22 May 20 22:11:55,22 May 20 22:17:58,
177,22 May 20 22:19:15,22 May 20 22:21:38,
178,22 May 20 22:23:00,22 May 20 22:32:07,
179,22 May 20 22:33:41,22 May 20 22:40:56,
180,22 May 20 22:42:11,22 May 20 22:51:27,
181,22 May 20 23:01:26,22 May 20 23:09:52,
182,22 May 20 23:14:18,22 May 20 23:22:36,
183,22 May 20 23:23:53,22 May 20 23:24:50,
184,22 May 20 23:26:03,22 May 20 23:32:18,
185,22 May 20 23:33:46,22 May 20 23:34:39,
186,22 May 20 23:35:52,22 May 20 23:38:17,
187,22 May 20 23:39:40,22 May 20 23:43:05,
188,22 May 20 23:44:23,22 May 20 23:45:21,
189,22 May 20 23:46:34,22 May 20 23:47:29,
190,22 May 20 23:48:45,22 May 20 23:49:43,
191,22 May 20 23:50:57,22 May 20 23:53:36,
192,23 May 20 18:32:58,23 May 20 19:02:41,00:29:41.35
193,26 May 20 21:45:49,26 May 20 21:48:18,
194,26 May 20 21:49:38,26 May 20 21:52:22,
195,26 May 20 21:53:35,26 May 20 21:55:56,
196,26 May 20 21:57:24,26 May 20 22:17:59,
197,28 May 20 19:19:36,28 May 20 19:49:41,00:30:04.14
198,28 May 20 19:59:21,28 May 20 20:30:37,00:31:14.59
199,28 May 20 20:38:33,28 May 20 20:45:08,
200,28 May 20 20:46:36,28 May 20 20:53:15,
201,28 May 20 20:55:46,28 May 20 21:08:12,
202,29 May 20 20:26:43,,00:37:57.96
203,29 May 20 20:10:26,29 May 20 20:10:30,
204,01 Jun 20 17:59:04,01 Jun 20 18:32:56,00:33:49.88
205,01 Jun 20 19:11:57,01 Jun 20 19:31:14,
206,03 Jun 20 19:12:49,03 Jun 20 19:15:35,
207,03 Jun 20 19:16:28,03 Jun 20 19:32:08,
